jsonname,appname,actType,sview,treesize,numOfVideo,sumAreaOfImage,numOfImage,lengthOfText,numOfLongText,numOfMiddleText,numOfShortText,center_text_num,center_widget_num,center_img_num,time
20190927162246.json,com.zhihu.android,TYPE_WINDOW_STATE_CHANGED,921600,95,0,0.0,0,64,0,7,537,62,1,0,4
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,735840,103,0,4096.0,1,77,0,9,539,75,0,0,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_FOCUSED,735840,103,0,4096.0,1,77,0,9,539,75,0,0,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,9216,103,0,4096.0,1,77,0,9,539,22,5,1,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,852480,103,0,4096.0,1,77,0,9,539,75,1,0,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,13122,103,0,4096.0,1,77,0,9,539,72,12,1,3
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,15606,103,0,4096.0,1,79,0,9,539,74,12,1,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,120,0,54464.0,4,176,1,14,548,126,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,7020,120,0,54464.0,4,176,1,14,548,162,19,4,7
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,128,0,60548.0,6,243,2,18,551,178,0,3,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,128,0,60548.0,6,243,2,18,551,178,0,3,1
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,134,0,56164.0,6,290,3,20,552,240,0,4,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,134,0,56164.0,6,274,3,19,552,240,0,3,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,134,0,56164.0,6,274,3,19,552,240,0,3,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,134,0,56164.0,6,274,3,19,552,192,0,3,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,125,0,16164.0,5,260,3,17,549,178,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,125,0,16164.0,5,260,3,17,549,178,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,125,0,16164.0,5,260,3,17,549,178,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,125,0,16164.0,5,260,3,17,549,178,0,2,1
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,125,0,16164.0,5,260,3,17,549,178,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,125,0,16164.0,5,260,3,17,549,178,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,125,0,16164.0,5,260,3,17,549,178,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,125,0,16164.0,5,260,3,17,549,178,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,125,0,16164.0,5,260,3,17,549,178,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,125,0,16164.0,5,260,3,17,549,178,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,125,0,16164.0,5,260,3,17,549,178,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,125,0,16164.0,5,260,3,17,549,178,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,125,0,16164.0,5,260,3,17,549,178,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,125,0,16164.0,5,260,3,17,549,178,0,2,7
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,125,0,16164.0,5,260,3,17,549,210,0,3,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,125,0,16164.0,5,260,3,17,549,210,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,126,0,10980.0,4,257,3,17,547,160,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,126,0,56164.0,6,221,2,17,550,156,0,3,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,126,0,50080.0,4,216,2,16,548,119,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,117,0,50080.0,4,154,1,13,547,120,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,117,0,50080.0,4,154,1,13,547,120,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,117,0,50080.0,4,154,1,13,547,120,0,2,1
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,117,0,50080.0,4,154,1,13,547,120,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,117,0,50080.0,4,154,1,13,547,120,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,117,0,50080.0,4,154,1,13,547,120,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,117,0,50080.0,4,154,1,13,547,120,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,117,0,50080.0,4,154,1,13,547,120,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,117,0,50080.0,4,154,1,13,547,120,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,117,0,50080.0,4,154,1,13,547,120,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,117,0,50080.0,4,154,1,13,547,120,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,117,0,50080.0,4,154,1,13,547,120,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,117,0,50080.0,4,154,1,13,547,120,0,2,2
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,126,0,52480.0,5,180,1,14,554,162,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,126,0,52480.0,5,180,1,14,554,162,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,126,0,52480.0,5,180,1,14,554,162,0,2,1
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,126,0,52480.0,5,180,1,14,554,162,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,126,0,52480.0,5,180,1,14,554,162,0,2,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,126,0,52480.0,5,180,1,14,554,162,0,2,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,126,0,52480.0,5,180,1,14,554,162,0,2,2
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,142,0,15680.0,6,234,1,22,560,232,0,1,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,142,0,15680.0,6,234,1,22,560,232,0,1,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,142,0,15680.0,6,234,1,22,560,232,0,1,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,142,0,15680.0,6,234,1,22,560,232,0,1,1
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,142,0,15680.0,6,234,1,22,560,232,0,1,0
20190927162246.json,com.zhihu.android,TYPE_WINDOW_CONTENT_CHANGED,666720,142,0,15680.0,6,234,1,22,560,232,0,1,0
20190927162246.json,com.zhihu.android,TYPE_VIEW_SCROLLED,666720,142,0,15680.0,6,234,1,22,560,232,0,1,0
